adres,postcode,type,m2,kamers,prijs,prijstype
Kerstendijk 19,"3079 ET,  Rotterdam",Appartement,73 m²,3 kamers,€ 139.500 k.k.,k.k.
Glinthorst 11,"3085 VH,  Rotterdam",Tussenwoning,134 m²,5 kamers,€ 315.000 k.k.,k.k.
Voermanweg 132,"3067 JW,  Rotterdam",Appartement,60 m²,3 kamers,€ 169.500 k.k.,k.k.
Lutulisingel 13,"3069 CW,  Rotterdam",Tussenwoning,117 m²,6 kamers,€ 275.000 k.k.,k.k.
Schietbaanstraat 52 A,"3014 ZZ,  Rotterdam",Dubbele bovenwoning,85 m²,4 kamers,€ 375.000 k.k.,k.k.
Zestienhovensekade 69,"3043 KJ,  Rotterdam",Woning,70 m²,3 kamers,€ 200.000 k.k.,k.k.
Haspelsstraat 26,"3025 PA,  Rotterdam",Appartement,81 m²,2 kamers,€ 225.000 k.k.,k.k.
Wilgensingel 194,"3053 CZ,  Rotterdam",Hoekwoning,132 m²,4 kamers,€ 645.000 ,
Lombardkade 83 B,"3011 ZG,  Rotterdam",Appartement,71 m²,3 kamers,€ 295.000 k.k.,k.k.
Schieweg 114 Cii,"3038 BD,  Rotterdam",Bovenwoning,96 m²,3 kamers,€ 225.000 k.k.,k.k.
Mijnsherenlaan 142 B,"3081 CK,  Rotterdam",Bovenwoning,91 m²,4 kamers,€ 175.000 k.k.,k.k.
Gordelweg 65 C,"3037 AH,  Rotterdam",Appartement,55 m²,3 kamers,€ 195.000 k.k.,k.k.
Lodewijk Pincoffsweg 410,"3071 AS,  Rotterdam",Appartement,93 m²,3 kamers,€ 275.000 k.k.,k.k.
Beukelsdijk 47 A,"3021 AC,  Rotterdam",Benedenwoning,130 m²,5 kamers,€ 350.000 k.k.,k.k.
Van Vollenhovenstraat 3 O,"3016 BE,  Rotterdam",Appartement,57 m²,1 kamer,€ 275.000 k.k.,k.k.
Koningswaard 103,"3078 AA,  Rotterdam",Landhuis,92 m²,3 kamers,€ 285.000 k.k.,k.k.
Graaf Balderikstraat 120,"3032 HC,  Rotterdam",Appartement,85 m²,4 kamers,€ 289.900 k.k.,k.k.
Pieter de Hoochstraat 42 G,"3024 CS,  Rotterdam",NA,151 m²,4 kamers,€ 545.000 k.k.,k.k.
Utrechtsestraat 13 A,"3074 TP,  Rotterdam",Benedenwoning,70 m²,2 kamers,€ 165.000 k.k.,k.k.
De Lairesselaan 92,"3062 PK,  Rotterdam",NA,394 m²,4 kamers,€ 1.650.000 k.k.,k.k.
Vegelinsoord 52,"3079 KM,  Rotterdam",Appartement,67 m²,3 kamers,€ 145.000 k.k.,k.k.
Beverwaardseweg 24,"3077 GA,  Rotterdam",Woning,110 m²,4 kamers,€ 299.500 k.k.,k.k.
Ariadnestraat 1,"3054 WE,  Rotterdam",Benedenwoning,109 m²,3 kamers,€ 399.000 k.k.,k.k.
Vierambachtsstraat 42 -a,"3023 AP,  Rotterdam",Benedenwoning,91 m²,3 kamers,€ 215.000 k.k.,k.k.
Jan Sonjestraat 6,"3021 TW,  Rotterdam",Eengezinswoning,151 m²,5 kamers,€ 575.000 k.k.,k.k.
Augustinusstraat 25,"3076 NA,  Rotterdam",Appartement,70 m²,3 kamers,€ 139.000 k.k.,k.k.
Bergse Linker Rottekade 220 C,"3056 LG,  Rotterdam",NA,223 m²,4 kamers,€ 1.095.000 k.k.,k.k.
Topaasstraat 8 A,"3051 KM,  Rotterdam",Benedenwoning,69 m²,3 kamers,€ 195.000 k.k.,k.k.
Pieter de Hoochstraat 42 F,"3024 CS,  Rotterdam",NA,139 m²,4 kamers,€ 425.000 k.k.,k.k.
Molenvijver 33 B,"3052 HB,  Rotterdam",NA,75 m²,4 kamers,€ 210.000 k.k.,k.k.
Vierambachtsstraat 72 B,"3023 AR,  Rotterdam",Bovenwoning,97 m²,4 kamers,€ 250.000 k.k.,k.k.
Franselaan 252 A,"3028 AR,  Rotterdam",Dubbele bovenwoning,90 m²,4 kamers,€ 200.000 k.k.,k.k.
Burg Meineszlaan 88 A,"3022 BN,  Rotterdam",Dubbele bovenwoning,120 m²,4 kamers,€ 350.000 k.k.,k.k.
Meent 73 D,"3011 JE,  Rotterdam",Appartement,77 m²,3 kamers,€ 309.000 k.k.,k.k.
Blankenburgstraat 119 A,"3081 TC,  Rotterdam",Benedenwoning,101 m²,4 kamers,€ 190.000 k.k.,k.k.
Molenstraat 14,"3052 XD,  Rotterdam",Appartement,75 m²,3 kamers,€ 199.000 k.k.,k.k.
Pleinweg 47 C,"3081 JD,  Rotterdam",Bovenwoning,92 m²,5 kamers,€ 135.000 k.k.,k.k.
Kouwenoord 61,"3079 LE,  Rotterdam",Appartement,76 m²,3 kamers,€ 155.000 k.k.,k.k.
Vletstraat 21 B,"3036 ZH,  Rotterdam",Bovenwoning,80 m²,3 kamers,€ 250.000 k.k.,k.k.
Meent 69 C,"3011 JD,  Rotterdam",Appartement,76 m²,4 kamers,€ 300.000 k.k.,k.k.
Piet Mondriaansingel 20,"3059 PD,  Rotterdam",Benedenwoning,171 m²,5 kamers,€ 525.000 k.k.,k.k.
Maasstraat 9 A,"3016 DB,  Rotterdam",Herenhuis,155 m²,4 kamers,€ 800.000 k.k.,k.k.
Beukelsweg 12 B,"3022 GH,  Rotterdam",Benedenwoning,70 m²,3 kamers,€ 210.000 k.k.,k.k.
Admiraliteitskade,"3063 EA,  Rotterdam",Woonboot,89 m²,4 kamers,€ 448.500 v.o.n.,v.o.n.
Menno Ter Braakstraat 30,"3076 EH,  Rotterdam",Appartement,58 m²,3 kamers,€ 120.000 k.k.,k.k.
Nicolaas Ruyschstraat 14 Lii,"3039 WS,  Rotterdam",Appartement,91 m²,4 kamers,€ 275.000 k.k.,k.k.
Villa Jacobus van Vessemsingel 15,"3065 NH,  Rotterdam",Herenhuis,207 m²,7 kamers,€ 675.000 k.k.,k.k.
Soderblomplaats 662,"3069 ST,  Rotterdam",Appartement,57 m²,NA,€ 155.000 k.k.,k.k.
Cor Kieboomplein 305,"3077 MK,  Rotterdam",Appartement,90 m²,3 kamers,€ 299.000 k.k.,k.k.
Deensestraat 47 C,"3028 GC,  Rotterdam",Benedenwoning,51 m²,2 kamers,€ 140.000 k.k.,k.k.
Bloemkwekersstraat 33,"3014 PA,  Rotterdam",Appartement,85 m²,4 kamers,€ 275.000 k.k.,k.k.
Weena 221,"3013 AL,  Rotterdam",Appartement,148 m²,4 kamers,€ 525.000 k.k.,k.k.
Brabantsestraat 7 A,"3074 RL,  Rotterdam",NA,72 m²,4 kamers,€ 185.000 k.k.,k.k.
Hesseplaats 393,"3069 EA,  Rotterdam",Appartement,112 m²,4 kamers,€ 450.000 k.k.,k.k.
Vlissingenplein 132,"3086 GZ,  Rotterdam",Appartement,82 m²,3 kamers,€ 200.000 k.k.,k.k.
Piccolo 61,"3068 HR,  Rotterdam",Woning,110 m²,5 kamers,€ 280.000 k.k.,k.k.
Stalpaertstraat 52,"3067 XS,  Rotterdam",Appartement,82 m²,4 kamers,€ 189.000 k.k.,k.k.
Mauritsweg 30 Aiii-iv,"3012 JS,  Rotterdam",Dubbele bovenwoning,150 m²,4 kamers,€ 550.000 k.k.,k.k.
Oosterkade 49,"3011 TV,  Rotterdam",Appartement,78 m²,2 kamers,€ 365.000 k.k.,k.k.
Meidoornsingel 166,"3052 BV,  Rotterdam",NA,114 m²,4 kamers,€ 525.000 k.k.,k.k.
Maasstraat 9 C,"3016 DB,  Rotterdam",Penthouse,175 m²,4 kamers,€ 900.000 k.k.,k.k.
Wieringerstraat 13 C,"3083 CJ,  Rotterdam",Appartement,53 m²,3 kamers,€ 110.000 k.k.,k.k.
Gerardus van Sillevoldtstraat 28,"3065 LG,  Rotterdam",Twee onder één kap,163 m²,4 kamers,€ 598.000 k.k.,k.k.
Van Opbergenstraat 20,"3067 XN,  Rotterdam",Appartement,75 m²,3 kamers,€ 175.000 k.k.,k.k.
Lotustuin 13,"3078 KL,  Rotterdam",Appartement,101 m²,3 kamers,€ 269.000 k.k.,k.k.
Putsebocht 149 A 1,"3073 HH,  Rotterdam",Appartement,52 m²,2 kamers,€ 150.000 k.k.,k.k.
Oscar Romerostraat 5,"3065 EH,  Rotterdam",Villa,190 m²,5 kamers,€ 899.000 k.k.,k.k.
Veerlaan 66 B,"3072 ZX,  Rotterdam",Appartement,63 m²,3 kamers,€ 225.000 ,
Maasstraat 9 B,"3016 DB,  Rotterdam",Bovenwoning,97 m²,3 kamers,€ 570.000 k.k.,k.k.
Gedempte Zalmhaven 943,"3011 BT,  Rotterdam",NA,100 m²,4 kamers,€ 347.500 k.k.,k.k.
Schalkeroord 21,"3079 WB,  Rotterdam",Appartement,64 m²,3 kamers,€ 148.800 k.k.,k.k.
Streksingel 113,"3054 HD,  Rotterdam",NA,134 m²,4 kamers,€ 475.000 k.k.,k.k.
Albert Cuijpstraat 12,"3043 AA,  Rotterdam",Woning,137 m²,5 kamers,€ 519.000 k.k.,k.k.
Nieuwe Kerkstraat 29 B,"3054 ND,  Rotterdam",Bovenwoning,91 m²,3 kamers,€ 299.000 k.k.,k.k.
's-gravenweg 469 B,"3065 SC,  Rotterdam",Woning,174 m²,7 kamers,€ 675.000 k.k.,k.k.
Cleyburchstraat 9 A,"3039 DA,  Rotterdam",Bovenwoning,90 m²,5 kamers,€ 265.000 k.k.,k.k.
Wilbertoord 66,"3079 JW,  Rotterdam",Appartement,60 m²,3 kamers,€ 129.500 k.k.,k.k.
Brandingdijk 290,"3059 RB,  Rotterdam",Geschakelde woning,194 m²,4 kamers,€ 500.000 k.k.,k.k.
Madeliefstraat 20 A,"3083 TG,  Rotterdam",Appartement,65 m²,4 kamers,€ 149.500 k.k.,k.k.
Liede 14,"3068 GP,  Rotterdam",Eengezinswoning,118 m²,5 kamers,€ 254.900 k.k.,k.k.
Walchersestraat 108 A,"3083 NT,  Rotterdam",Benedenwoning,55 m²,3 kamers,€ 135.000 k.k.,k.k.
Bergweg 148 Ii,"3036 BJ,  Rotterdam",Appartement,67 m²,2 kamers,€ 180.000 k.k.,k.k.
Schinkelstraat 162,"3061 MN,  Rotterdam",Appartement,62 m²,3 kamers,€ 225.000 k.k.,k.k.
Plasoord 29 A,"3054 LJ,  Rotterdam",NA,210 m²,4 kamers,€ 2.150.000 k.k.,k.k.
Kerstant van den Bergela 10 A,"3054 ER,  Rotterdam",NA,121 m²,4 kamers,€ 419.500 k.k.,k.k.
Jan van Loonslaan 15 A,"3031 PK,  Rotterdam",Appartement,51 m²,2 kamers,€ 209.000 k.k.,k.k.
's-gravenweg 744,"3065 SJ,  Rotterdam",Vrijstaande woning,200 m²,4 kamers,€ 899.000 k.k.,k.k.
Carnisselaan 49,"3083 HB,  Rotterdam",Tussenwoning,147 m²,7 kamers,€ 200.000 k.k.,k.k.
Slinge,"3085 EX,  Rotterdam",Woning,146 m²,6 kamers,€ 339.500 v.o.n.,v.o.n.
Willem Nagellaan 37,"3054 BW,  Rotterdam",Tussenwoning,158 m²,8 kamers,€ 750.000 k.k.,k.k.
Willem Nagellaan 22,"3054 BX,  Rotterdam",Tussenwoning,165 m²,7 kamers,€ 725.000 k.k.,k.k.
Van Vollenhovenstraat 3 113,"3016 BE,  Rotterdam",Appartement,57 m²,1 kamer,€ 275.000 k.k.,k.k.
Katendrechtse Lagedijk 312,"3083 GM,  Rotterdam",Appartement,100 m²,5 kamers,€ 269.500 k.k.,k.k.
De Merodestraat 18,"3077 AK,  Rotterdam",Hoekwoning,92 m²,4 kamers,€ 195.000 k.k.,k.k.
Ellewoutsdijkstraat 208,"3086 LJ,  Rotterdam",Tussenwoning,77 m²,4 kamers,€ 200.000 k.k.,k.k.
Loods Holland 34,"3024 WC,  Rotterdam",Appartement,98 m²,3 kamers,€ 330.000 k.k.,k.k.
Eric Kropstraat 132,"3071 AE,  Rotterdam",NA,141 m²,8 kamers,€ 495.000 k.k.,k.k.
Beukelsweg 61 B,"3022 GD,  Rotterdam",Woning,132 m²,5 kamers,€ 365.000 k.k.,k.k.
Beukelsdijk 37 B,"3021 AC,  Rotterdam",Appartement,104 m²,3 kamers,€ 375.000 k.k.,k.k.
Heemraadssingel 128 C,"3021 DJ,  Rotterdam",Woning,130 m²,4 kamers,€ 669.000 k.k.,k.k.
Heemraadssingel 128 A,"3021 DJ,  Rotterdam",Woning,190 m²,4 kamers,€ 849.000 k.k.,k.k.
Voermanweg 126,"3067 JW,  Rotterdam",Appartement,76 m²,3 kamers,€ 179.500 k.k.,k.k.
Heemraadssingel 111,"3022 CC,  Rotterdam",Woning,351 m²,10 kamers,€ 1.385.000 k.k.,k.k.
Meiendaal 226,"3075 KN,  Rotterdam",Tussenwoning,80 m²,5 kamers,€ 175.000 k.k.,k.k.
Willem Beukelszstraat 3 K,"3027 CJ,  Rotterdam",Appartement,106 m²,3 kamers,€ 250.000 k.k.,k.k.
Overschiese Dorpsstraat 128,"3043 CV,  Rotterdam",Twee onder één kap,151 m²,5 kamers,€ 395.000 k.k.,k.k.
Beekweg 181,"3045 PA,  Rotterdam",Woning,210 m²,7 kamers,€ 1.250.000 k.k.,k.k.
Rolklaver 40,"3069 DH,  Rotterdam",Eengezinswoning,157 m²,5 kamers,€ 329.000 k.k.,k.k.
Mauritsweg 30 Aiii,"3012 JS,  Rotterdam",Appartement,83 m²,1 kamer,€ 300.000 k.k.,k.k.
Bergselaan 107 B,"3037 BD,  Rotterdam",Bovenwoning,147 m²,6 kamers,€ 389.000 ,
Zwaanshals 218,"3036 KV,  Rotterdam",Tussenwoning,132 m²,5 kamers,€ 435.000 k.k.,k.k.
Schollevaartse Dreef 99,"3068 KK,  Rotterdam",Appartement,61 m²,3 kamers,€ 160.000 k.k.,k.k.
Boergoensevliet 172,"3082 KX,  Rotterdam",Herenhuis,150 m²,5 kamers,€ 375.000 k.k.,k.k.
Koninginneweg 310,"3078 GS,  Rotterdam",Eengezinswoning,84 m²,3 kamers,€ 215.000 k.k.,k.k.
Delftweg 132,"3046 NC,  Rotterdam",Woning,198 m²,4 kamers,€ 275.000 k.k.,k.k.
Botersloot 361,"3011 HE,  Rotterdam",Appartement,102 m²,3 kamers,€ 435.000 k.k.,k.k.
Blondeelstraat 134,"3067 VB,  Rotterdam",Appartement,75 m²,4 kamers,€ 184.500 k.k.,k.k.
Jean-paul Sartrestraat 13,"3076 JD,  Rotterdam",Tussenwoning,147 m²,5 kamers,€ 385.000 k.k.,k.k.
Tielerwaard 119,"3079 PV,  Rotterdam",Hoekwoning,144 m²,8 kamers,€ 339.000 k.k.,k.k.
Benedenstraat 33,"3077 BA,  Rotterdam",Hoekwoning,177 m²,5 kamers,€ 469.000 k.k.,k.k.
Strevelsweg 936,"3083 LW,  Rotterdam",Appartement,92 m²,3 kamers,€ 235.000 k.k.,k.k.
Van Meekerenstraat 184,"3034 GD,  Rotterdam",Appartement,83 m²,3 kamers,€ 199.000 k.k.,k.k.
Lange Hilleweg 31 -b,"3073 BH,  Rotterdam",Tussenwoning,126 m²,6 kamers,€ 300.000 k.k.,k.k.
Blokland 47,"3075 DA,  Rotterdam",Woning,67 m²,3 kamers,€ 175.000 k.k.,k.k.
Beverwaardseweg 183,"3077 GL,  Rotterdam",Eengezinswoning,165 m²,6 kamers,€ 300.000 k.k.,k.k.
Olmendaal 47,"3075 KP,  Rotterdam",Tussenwoning,97 m²,5 kamers,€ 250.000 k.k.,k.k.
's-gravensingel 28,"3062 SB,  Rotterdam",Twee onder één kap,157 m²,5 kamers,€ 679.000 k.k.,k.k.
Alerdincksingel 18,"3077 JB,  Rotterdam",Appartement,85 m²,4 kamers,€ 162.500 k.k.,k.k.
Schulpplein 18 A,"3082 PW,  Rotterdam",Eengezinswoning,100 m²,4 kamers,€ 220.000 k.k.,k.k.
Keltenoord 10,"3079 ZE,  Rotterdam",Appartement,82 m²,3 kamers,€ 165.000 k.k.,k.k.
Noorderhavenkade 49 C Iii,"3039 RG,  Rotterdam",Appartement,75 m²,4 kamers,€ 275.000 k.k.,k.k.
Vissersdijk 125,"3011 GW,  Rotterdam",Appartement,106 m²,3 kamers,€ 470.000 k.k.,k.k.
Pleinweg 85 C,"3081 JG,  Rotterdam",Dubbele bovenwoning,120 m²,4 kamers,€ 199.500 k.k.,k.k.
Blaauwstraat 122,"3067 PC,  Rotterdam",Appartement,73 m²,4 kamers,€ 139.500 k.k.,k.k.
Helmersstraat 75,"3071 AD,  Rotterdam",Appartement,86 m²,3 kamers,€ 299.000 k.k.,k.k.
Veerlaan 6,"3072 ZV,  Rotterdam",Benedenwoning,102 m²,3 kamers,€ 299.000 k.k.,k.k.
Bergselaan 48 B 2,"3037 CB,  Rotterdam",Woning,83 m²,4 kamers,€ 245.000 k.k.,k.k.
's-gravenweg 752,"3065 SK,  Rotterdam",Vrijstaande woning,235 m²,6 kamers,€ 1.175.000 k.k.,k.k.
Sicilieboulevard 118,"3059 XT,  Rotterdam",Herenhuis,65 m²,6 kamers,€ 629.000 k.k.,k.k.
Vlaskade 104,"3087 EK,  Rotterdam",Bovenwoning,80 m²,3 kamers,€ 182.500 k.k.,k.k.
Oranje-nassaustraat 18,"3024 SR,  Rotterdam",Appartement,71 m²,3 kamers,€ 187.000 k.k.,k.k.
Parallelstraat 22 A,"3043 GP,  Rotterdam",NA,94 m²,5 kamers,€ 175.000 k.k.,k.k.
Krommelaan 11,"3042 CG,  Rotterdam",Woning,202 m²,6 kamers,€ 695.000 k.k.,k.k.
Riet Blom-mouritsstraat 38,"3066 GL,  Rotterdam",Tussenwoning,90 m²,4 kamers,€ 275.000 k.k.,k.k.
Henri Matissestraat 46,"3059 VB,  Rotterdam",Hoekwoning,142 m²,7 kamers,€ 440.000 k.k.,k.k.
Gerrit Rietveldstraat 41,"3059 PG,  Rotterdam",Hoekwoning,157 m²,6 kamers,€ 480.000 k.k.,k.k.
Schapendreef 311,"3034 ZL,  Rotterdam",Benedenwoning,114 m²,5 kamers,€ 350.000 k.k.,k.k.
Zestienhovenstraat 38,"3037 XT,  Rotterdam",Tussenwoning,149 m²,5 kamers,€ 475.000 k.k.,k.k.
Wijnhaven 65 A 31,"3011 WJ,  Rotterdam",Penthouse,95 m²,2 kamers,€ 571.000 v.o.n.,v.o.n.
Stadhoudersweg 39 D,"3038 EE,  Rotterdam",Appartement,75 m²,3 kamers,€ 245.000 k.k.,k.k.
Straatweg 218,"3054 AK,  Rotterdam",Penthouse,140 m²,3 kamers,€ 1.300.000 k.k.,k.k.
Molenvliet 54,"3076 CK,  Rotterdam",Appartement,100 m²,4 kamers,€ 200.000 k.k.,k.k.
Koningin Emmaplein 15 B,"3016 AB,  Rotterdam",Appartement,260 m²,4 kamers,€ 1.495.000 ,
Wijnhaven 65 A 17,"3011 WJ,  Rotterdam",Penthouse,108 m²,2 kamers,€ 590.000 v.o.n.,v.o.n.
Wijnhaven 65 C 28,"3011 WJ,  Rotterdam",Penthouse,136 m²,4 kamers,€ 874.000 v.o.n.,v.o.n.
Wijnhaven 65 B 34,"3011 WJ,  Rotterdam",Penthouse,170 m²,3 kamers,€ 1.325.000 v.o.n.,v.o.n.
Ringvaartweg 162 A,"3065 AE,  Rotterdam",Villa,392 m²,8 kamers,€ 2.300.000 k.k.,k.k.
Godijn van Dormaalstraat 29,"3067 JG,  Rotterdam",Appartement,100 m²,4 kamers,€ 225.000 k.k.,k.k.
Linnaeushof 3,"3045 BC,  Rotterdam",Eengezinswoning,156 m²,6 kamers,€ 750.000 k.k.,k.k.
Parallelstraat 36 A,"3043 GR,  Rotterdam",Woning,94 m²,4 kamers,€ 175.000 k.k.,k.k.
Burg Wijnaendtslaan 39,"3042 CA,  Rotterdam",Hoekwoning,150 m²,5 kamers,€ 499.500 k.k.,k.k.
Wagenaarlaan 17,"3055 WK,  Rotterdam",Tussenwoning,142 m²,7 kamers,€ 565.000 k.k.,k.k.
Breitnersingel 77,"3055 BB,  Rotterdam",NA,149 m²,3 kamers,€ 850.000 k.k.,k.k.
Max Heymansstraat 40,"3059 MK,  Rotterdam",Hoekwoning,146 m²,6 kamers,€ 475.000 k.k.,k.k.
Wilhelminalaan 13,"3051 JS,  Rotterdam",Tussenwoning,100 m²,5 kamers,€ 499.500 k.k.,k.k.
Soetendaalseweg 80,"3036 ET,  Rotterdam",Tussenwoning,173 m²,4 kamers,€ 698.000 k.k.,k.k.
Aalscholverstraat 99,"3082 ZA,  Rotterdam",Penthouse,120 m²,4 kamers,€ 475.000 k.k.,k.k.
Dijkje 50,"3077 CL,  Rotterdam",Eengezinswoning,75 m²,4 kamers,€ 210.000 k.k.,k.k.
Schieweg 223 A 2,"3038 BN,  Rotterdam",Bovenwoning,91 m²,5 kamers,€ 275.000 k.k.,k.k.
Noorderhavenkade 44 B Iii,"3038 XJ,  Rotterdam",Bovenwoning,82 m²,3 kamers,€ 250.000 k.k.,k.k.
Berglustlaan 2 B,"3054 BG,  Rotterdam",NA,143 m²,3 kamers,€ 550.000 k.k.,k.k.
Hendrik Wachterstraat 9,"3065 LD,  Rotterdam",Twee onder één kap,155 m²,4 kamers,€ 600.000 k.k.,k.k.
Zeilmakersstraat 22,"3025 NV,  Rotterdam",Hoekwoning,176 m²,5 kamers,€ 499.950 k.k.,k.k.
Eerste Jerichostraat 57 C,"3061 GC,  Rotterdam",Bovenwoning,110 m²,4 kamers,€ 400.000 k.k.,k.k.
Rosier Faassenstraat 56,"3025 GP,  Rotterdam",Tussenwoning,122 m²,5 kamers,€ 325.000 k.k.,k.k.
Ringvaartweg 222,"3065 AH,  Rotterdam",Twee onder één kap,175 m²,7 kamers,€ 1.000.000 k.k.,k.k.
Resedastraat 45,"3073 CT,  Rotterdam",Hoekwoning,82 m²,3 kamers,€ 249.000 v.o.n.,v.o.n.
Resedastraat 49,"3073 CT,  Rotterdam",Tussenwoning,78 m²,3 kamers,€ 229.000 v.o.n.,v.o.n.
Resedastraat 47,"3073 CT,  Rotterdam",Tussenwoning,70 m²,3 kamers,€ 219.000 v.o.n.,v.o.n.
Drinkwaterweg 515,"3063 VE,  Rotterdam",Appartement,83 m²,3 kamers,€ 265.000 k.k.,k.k.
Hefkwartier Fase V-appartementen 37, Rotterdam,Penthouse,188 m²,4 kamers,€ 999.500 v.o.n.,v.o.n.
Tongelaarweg 41,"3077 TB,  Rotterdam",Eengezinswoning,115 m²,5 kamers,€ 239.500 k.k.,k.k.
Lijnzaadstraat 10 B,"3073 DK,  Rotterdam",Appartement,78 m²,4 kamers,€ 169.500 k.k.,k.k.
Arguspad 6,"3054 SG,  Rotterdam",Tussenwoning,119 m²,4 kamers,€ 375.000 k.k.,k.k.
Bergsingel 265,"3037 GW,  Rotterdam",Appartement,111 m²,3 kamers,€ 325.000 k.k.,k.k.
Zernikeplaats 236,"3068 ZP,  Rotterdam",Appartement,80 m²,4 kamers,€ 181.000 k.k.,k.k.
Andre Gideplaats 299,"3069 EH,  Rotterdam",Appartement,83 m²,4 kamers,€ 175.000 k.k.,k.k.
Vlaskade 162,"3087 EK,  Rotterdam",Appartement,88 m²,4 kamers,€ 199.500 k.k.,k.k.
Kees Pijlstraat 29,"3077 MH,  Rotterdam",Woning,186 m²,5 kamers,€ 415.000 k.k.,k.k.
De Savornin Lohmanlaan 78 B 2,"3038 NN,  Rotterdam",Appartement,116 m²,7 kamers,€ 400.000 k.k.,k.k.
Mathenesserdijk 288 A 01,"3026 GP,  Rotterdam",Woning,88 m²,2 kamers,€ 195.000 k.k.,k.k.
Sonmansstraat 74 B 01,"3039 DM,  Rotterdam",Woning,93 m²,5 kamers,€ 245.000 k.k.,k.k.
Waterloostraat 20,"3062 TP,  Rotterdam",Tussenwoning,90 m²,4 kamers,€ 489.000 k.k.,k.k.
Cargadoorskade 54,"3071 AW,  Rotterdam",Appartement,85 m²,3 kamers,€ 275.000 k.k.,k.k.
Adriaen van der Doeslaan 41,"3054 EB,  Rotterdam",NA,189 m²,3 kamers,€ 589.000 k.k.,k.k.
Visbyerf 47,"3067 DV,  Rotterdam",Hoekwoning,118 m²,5 kamers,€ 250.000 k.k.,k.k.
Leo Gestelstraat 32,"3059 VH,  Rotterdam",Tussenwoning,137 m²,6 kamers,€ 400.000 k.k.,k.k.
Plaswijcklaan 50,"3054 CP,  Rotterdam",Vrijstaande woning,178 m²,5 kamers,€ 998.000 k.k.,k.k.
John Coltranestraat 18,"3069 XK,  Rotterdam",Woning,115 m²,5 kamers,€ 330.000 k.k.,k.k.
Prins Mauritssingel 89 B,"3043 PD,  Rotterdam",Appartement,75 m²,NA,€ 185.000 k.k.,k.k.
Strevelsweg 221,"3073 DZ,  Rotterdam",Appartement,76 m²,3 kamers,€ 170.000 k.k.,k.k.
Rhijnauwensingel 39,"3077 VA,  Rotterdam",Tussenwoning,118 m²,6 kamers,€ 220.000 k.k.,k.k.
Van Vollenhovenstraat 3 111,"3016 BE,  Rotterdam",Appartement,56 m²,2 kamers,€ 275.000 k.k.,k.k.
Grindweg 135,"3054 VJ,  Rotterdam",Twee onder één kap,180 m²,7 kamers,€ 775.000 k.k.,k.k.
Oostzeedijk Beneden 39 Ab,"3062 VL,  Rotterdam",Hoekwoning,246 m²,10 kamers,€ 550.000 k.k.,k.k.
Pleinweg 138 A,"3083 EP,  Rotterdam",Appartement,90 m²,5 kamers,€ 175.000 ,
Beijerlandselaan 93 M,"3074 EC,  Rotterdam",Appartement,117 m²,4 kamers,€ 195.000 k.k.,k.k.
Borchsatelaan 17,"3055 ZB,  Rotterdam",Woning,124 m²,5 kamers,€ 579.000 ,
Piet Begeerstraat 2,"3059 TT,  Rotterdam",Herenhuis,173 m²,5 kamers,€ 599.000 k.k.,k.k.
Wollefoppenweg 2 G,"3059 LG,  Rotterdam",Woning,181 m²,7 kamers,€ 685.000 k.k.,k.k.
Italiaansestraat 49,"3028 EC,  Rotterdam",Eengezinswoning,134 m²,5 kamers,€ 325.000 k.k.,k.k.
Kruiskade 2 C,"3012 EH,  Rotterdam",Appartement,147 m²,3 kamers,€ 1.395.000 k.k.,k.k.
Chris van Abkoudehof 18,"3076 LT,  Rotterdam",Hoekwoning,96 m²,4 kamers,€ 340.000 k.k.,k.k.
Avenue Concordia 45,"3062 LB,  Rotterdam",Tussenwoning,256 m²,7 kamers,€ 1.150.000 k.k.,k.k.
Wijnhaven 65 G 04,"3011 WJ,  Rotterdam",Penthouse,90 m²,3 kamers,€ 495.000 v.o.n.,v.o.n.
Eendrachtsweg 48 1,"3012 LD,  Rotterdam",Benedenwoning,127 m²,3 kamers,€ 589.000 k.k.,k.k.
Kleinpolderkade 34,"3043 CX,  Rotterdam",Appartement,76 m²,2 kamers,€ 175.000 k.k.,k.k.
Philips Willemstraat 14,"3051 PP,  Rotterdam",Appartement,62 m²,2 kamers,€ 250.000 k.k.,k.k.
Noordsingel 85 C,"3035 EL,  Rotterdam",Appartement,114 m²,4 kamers,€ 450.000 k.k.,k.k.
Zuiderterras 30,"3083 BW,  Rotterdam",Geschakelde woning,132 m²,4 kamers,€ 295.000 k.k.,k.k.
Heemraadssingel 248,"3021 DP,  Rotterdam",Woning,243 m²,5 kamers,€ 580.000 k.k.,k.k.
Maashaven N Z 495,"3072 AE,  Rotterdam",Woning,162 m²,6 kamers,€ 599.000 k.k.,k.k.
Spoorsingel 143,"3033 GJ,  Rotterdam",Appartement,69 m²,3 kamers,€ 230.000 k.k.,k.k.
Spoorsingel 111,"3033 GJ,  Rotterdam",Appartement,64 m²,3 kamers,€ 225.000 k.k.,k.k.
Slachthuiskade 16,"3034 ES,  Rotterdam",Appartement,87 m²,4 kamers,€ 230.000 k.k.,k.k.
Carel van Nieveltstraat 11 A,"3031 RA,  Rotterdam",Benedenwoning,75 m²,5 kamers,€ 239.000 k.k.,k.k.
Grotemarkt 258,"3011 PA,  Rotterdam",Penthouse,147 m²,3 kamers,€ 1.050.000 k.k.,k.k.
